timestamp,job_title,company,location,experience,url,score,decision,status,reason
2026-04-25T11:22:32,Flutter Developer / React Developer/Backend,Job Seeks 4u Consultancy Services,Pune,1-6 Yrs,https://www.naukri.com/job-listings-flutter-developer-react-developer-backend-ansh-intertrade-pune-1-to-6-years-200426020511,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:22:40,Hiring For Flutter Developer,Leading Client,New Delhi( Pitampura ),2-7 Yrs,https://www.naukri.com/job-listings-hiring-for-flutter-developer-optiontown-new-delhi-2-to-7-years-160426017118,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:22:48,Flutter Developer,Leading Client,Noida,1-5 Yrs,https://www.naukri.com/job-listings-flutter-developer-trident-fetch-communications-noida-1-to-5-years-181125502620,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:22:59,Flutter Developer,Vconstruct,"Pune, Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai",2-5 Yrs,https://www.naukri.com/job-listings-flutter-developer-online-munim-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-181024502795,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:23:07,Flutter Developer,Botree Software,Ghaziabad,1-3 Yrs,https://www.naukri.com/job-listings-flutter-developer-jaimru-technology-private-limited-ghaziabad-1-to-3-years-290126511320,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:23:15,Flutter Developer,Botree Software,"Ghaziabad, New Delhi",1-3 Yrs,https://www.naukri.com/job-listings-flutter-developer-jaimru-technology-private-limited-ghaziabad-new-delhi-1-to-3-years-200126506069,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:23:26,Flutter Developer,Satmat Technologies,"Pune, Pune",2-4 Yrs,https://www.naukri.com/job-listings-flutter-developer-satmat-technologies-pune-pune-2-to-4-years-240426924071,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:23:34,Flutter Developer,Vconstruct,Noida,3-8 Yrs,https://www.naukri.com/job-listings-flutter-developer-enixo-enterprises-llp-noida-3-to-8-years-180625500300,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:23:44,Flutter Developer,Aurus,Pune,1-4 Yrs,https://www.naukri.com/job-listings-flutter-developer-satmat-group-pune-1-to-4-years-121124506296,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:23:52,Senior Flutter Developer,Vconstruct,Gurugram,1-4 Yrs,https://www.naukri.com/job-listings-senior-flutter-developer-squareboat-gurugram-1-to-4-years-160226501102,30,skip,skipped,Job location is outside configured allowed_locations.
